"accelX.g.","accelY.g.","accelZ.g.","accelUserX.g.","accelUserY.g.","accelUserZ.g.","gyroX.rad.s.","gyroY.rad.s.","gyroZ.rad.s.","Roll.rads.","Pitch.rads.","Yaw.rads.","m11","m12","m13","m21","m22","m23","m31","m32","m33","qX","qY","qZ","qW","ActivityType","ActivityConfidence","Pressure.kilopascals.","RelativeAltitude.meters.","magX.µT.","magY.µT.","magZ.µT.","calMagX.µT.","calMagY.µT.","calMagZ.µT."
0.1981,-0.1964,0.7643,-0.1451,-0.0985,-0.1712,0.5149,-1.174,0.4149,2.7728,0.1039,2.9776,0.9141,-0.1892,-0.3585,-0.1624,-0.9813,0.1037,-0.3714,-0.0366,-0.9277,0.9776,-0.0899,-0.1867,0.0359,"Bicleta","Med",100.7013,-0.9882,95.9814,100.8671,-361.7941,36.6001,-7.5432,23.0962
0.1997,-0.1917,0.7814,-0.1746,-0.0949,-0.1535,0.5752,-1.2787,0.2635,2.7605,0.0994,2.9725,0.9088,-0.1926,-0.3701,-0.1674,-0.9809,0.0993,-0.3822,-0.0283,-0.9237,0.9764,-0.0922,-0.1926,0.0327,"Bicleta","Med",100.7013,-0.9882,95.9814,100.8671,-361.7941,36.6001,-7.5432,23.0962
0.2247,-0.1915,0.7769,-0.1765,-0.0973,-0.1355,0.566,-1.3847,0.1958,2.7476,0.0947,2.9685,0.9033,-0.1948,-0.3822,-0.1715,-0.9806,0.0946,-0.3932,-0.0199,-0.9192,0.9751,-0.0939,-0.1988,0.0294,"Bicleta","Med",100.7013,-0.9882,96.9468,100.6483,-363.1282,37.3685,-7.3281,22.456
0.2586,-0.1815,0.7543,-0.1613,-0.1002,-0.1443,0.553,-1.5661,0.106,2.733,0.0899,2.9647,0.8971,-0.1966,-0.3957,-0.1753,-0.9804,0.0898,-0.4056,-0.0112,-0.914,0.9736,-0.0955,-0.2058,0.0259,"Bicleta","Med",100.7013,-0.9882,96.9468,100.6483,-363.1282,37.3685,-7.3281,22.456
0.2893,-0.1704,0.7567,-0.1418,-0.0923,-0.1558,0.5547,-1.7169,0.0287,2.7167,0.0849,2.962,0.8902,-0.1971,-0.4107,-0.178,-0.9804,0.0848,-0.4194,-0.0024,-0.9078,0.9719,-0.0965,-0.2135,0.0224,"Bicleta","Med",100.7013,-0.9882,96.9468,100.6483,-363.1282,37.8983,-7.3418,21.5798
0.3233,-0.1636,0.7589,-0.1288,-0.0892,-0.141,0.5474,-1.8615,-0.0395,2.699,0.0796,2.9595,0.8825,-0.1971,-0.427,-0.1805,-0.9804,0.0795,-0.4342,0.0069,-0.9008,0.97,-0.0973,-0.222,0.0187,"Bicleta","Med",100.7013,-0.9882,96.9468,100.6483,-363.1282,37.8983,-7.3418,21.5798
0.3625,-0.1389,0.7428,-0.1091,-0.0848,-0.1386,0.5405,-1.9654,-0.1403,2.6797,0.074,2.958,0.8742,-0.1959,-0.4444,-0.1821,-0.9805,0.074,-0.4502,0.0163,-0.8928,0.9679,-0.0976,-0.2311,0.0149,"Bicleta","Med",100.7013,-0.9882,98.3987,100.7052,-364.8968,38.7902,-7.3687,20.5117
0.3982,-0.1067,0.739,-0.0886,-0.0606,-0.1433,0.4951,-2.0466,-0.2421,2.6596,0.0682,2.9571,0.8652,-0.1936,-0.4625,-0.183,-0.9807,0.0682,-0.4668,0.0256,-0.884,0.9657,-0.0975,-0.2406,0.011,"Bicleta","Med",100.7013,-0.9882,98.3987,100.7052,-364.8968,38.7902,-7.3687,20.5117
0.4216,-0.0901,0.7492,-0.0743,-0.037,-0.1344,0.4481,-2.0867,-0.3037,2.6388,0.0625,2.9574,0.8559,-0.1901,-0.481,-0.1828,-0.9812,0.0625,-0.4838,0.0345,-0.8745,0.9633,-0.0968,-0.2504,0.0073,"Bicleta","Med",100.7013,-0.9882,98.3987,100.7052,-364.8968,39.816,-6.8316,19.2687
0.4477,-0.0803,0.7564,-0.0716,-0.0309,-0.1117,0.4192,-2.1241,-0.3454,2.6175,0.0569,2.9583,0.8461,-0.1858,-0.4996,-0.182,-0.9817,0.0569,-0.501,0.0428,-0.8644,0.9608,-0.0957,-0.2604,0.0037,"Bicleta","Med",100.7031,-1.1362,100.1448,101.5552,-367.2986,40.6302,-6.3519,17.7572
